,dates,titles,descriptions,proponents,links
89,2018-11-28 00:00:00,SBN-2112: Exempting Medical Insurance Premiums From Income Tax and Fringe Benefit Tax,,"['angara, juan edgardo ""sonny"" m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2112
90,2018-11-28 00:00:00,SBN-2111: Public Solicitation Act,,"['de lima, leila m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2111
91,2018-11-27 00:00:00,SBN-2110: Long Term Care Fire Safety Act,an act establishing a grant program for the professional retrofit installation of fire alarm detection systems and other fire detection and prevention technologies in long term care facilities,"['binay, maria lourdes nancy s.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2110
92,2018-11-26 00:00:00,SBN-2109: Philippine Online Infringement Act,,"['sotto iii, vicente c.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2109
93,2018-11-21 00:00:00,SBN-2108: Poverty Reducation Through Social Entrepreneurship (Present) Act,,"['poe, grace l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2108
94,2018-11-21 00:00:00,"SBN-2107: Reducing the Value-Added Tax Rate to 10% Effective January 1, 2019","an act amending sections 106, 107, 108 of the national internal revenue code (nirc) of 1997, as amended","['villanueva, joel']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2107
95,2018-11-21 00:00:00,SBN-2106: Cisfa Amendments of 2018,,"['ejercito, joseph victor g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2106
96,2018-11-21 00:00:00,SBN-2105: Regulation and Organization of Islamic Banks,an act providing for the regulation and organization of islamic banks,"['gatchalian, sherwin t.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2105
97,2018-11-19 00:00:00,SBN-2104: Automatic Reversal of the Excise Tax on Fuel Under R.A No.10963 (Train Law),,"['villanueva, joel']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2104
98,2018-11-19 00:00:00,SBN-2103: Pili Industry Development Act,,"['escudero, francis ""chiz"" g.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2103
99,2018-11-15 00:00:00,SBN-2102: Amending RA No.7042 (Foreign Investments Act of 1991),"an act amending republic act no. 7042, otherwise known as the foreign investments act of 1991, as amended by republic act no. 8179, and for other purposes","['gatchalian, sherwin t.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2102
100,2018-11-15 00:00:00,SBN-2101: Business Incentives for OFWs Act,an act granting benefits and incentives to overseas filipino workers investing in business in the philippines,"['aquino iv, paolo benigno ""bam""']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2101
101,2018-11-15 00:00:00,"SBN-2100: Buy Pinoy, Build Pinoy Month Act",,"['villar, cynthia a', ' pimentel, aquilino koko iii l.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2100
102,2018-11-15 00:00:00,SBN-2099: Council for the Welfare of Senior Citizens Act,an act providing for the creation of a council for the welfare of senior citizens,"['angara, juan edgardo ""sonny"" m.']",http://www.senate.gov.ph/lis/bill_res.aspx?congress=17&q=SBN-2099
